"tab_code","表章項目","cat01_code","データの種別","cat02_code","銘柄","area_code","地域","time_code","時間軸（月）","unit","value","annotation","time"
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2021000707","2021年7月","円",630,NA,2021-07-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2021000606","2021年6月","円",630,NA,2021-06-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2021000505","2021年5月","円",630,NA,2021-05-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2021000404","2021年4月","円",630,NA,2021-04-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2021000303","2021年3月","円",602,NA,2021-03-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2021000202","2021年2月","円",602,NA,2021-02-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2021000101","2021年1月","円",630,NA,2021-01-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2020001212","2020年12月","円",630,NA,2020-12-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2020001111","2020年11月","円",619,NA,2020-11-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2020001010","2020年10月","円",619,NA,2020-10-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2020000909","2020年9月","円",619,NA,2020-09-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2020000808","2020年8月","円",619,NA,2020-08-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2020000707","2020年7月","円",619,NA,2020-07-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2020000606","2020年6月","円",630,NA,2020-06-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2020000505","2020年5月","円",630,NA,2020-05-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2020000404","2020年4月","円",631,NA,2020-04-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2020000303","2020年3月","円",631,NA,2020-03-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2020000202","2020年2月","円",576,NA,2020-02-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2020000101","2020年1月","円",603,NA,2020-01-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2019001212","2019年12月","円",631,NA,2019-12-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2019001111","2019年11月","円",631,NA,2019-11-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2019001010","2019年10月","円",603,NA,2019-10-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2019000909","2019年9月","円",619,NA,2019-09-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2019000808","2019年8月","円",619,NA,2019-08-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2019000707","2019年7月","円",565,NA,2019-07-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2019000606","2019年6月","円",619,NA,2019-06-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2019000505","2019年5月","円",619,NA,2019-05-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2019000404","2019年4月","円",619,NA,2019-04-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2019000303","2019年3月","円",595,NA,2019-03-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2019000202","2019年2月","円",616,NA,2019-02-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2019000101","2019年1月","円",653,NA,2019-01-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2018001212","2018年12月","円",653,NA,2018-12-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2018001111","2018年11月","円",616,NA,2018-11-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2018001010","2018年10月","円",653,NA,2018-10-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2018000909","2018年9月","円",589,NA,2018-09-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2018000808","2018年8月","円",589,NA,2018-08-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2018000707","2018年7月","円",589,NA,2018-07-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2018000606","2018年6月","円",589,NA,2018-06-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2018000505","2018年5月","円",653,NA,2018-05-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2018000404","2018年4月","円",589,NA,2018-04-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2018000303","2018年3月","円",595,NA,2018-03-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2018000202","2018年2月","円",622,NA,2018-02-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2018000101","2018年1月","円",598,NA,2018-01-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2017001212","2017年12月","円",660,NA,2017-12-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2017001111","2017年11月","円",660,NA,2017-11-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2017001010","2017年10月","円",660,NA,2017-10-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2017000909","2017年9月","円",595,NA,2017-09-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2017000808","2017年8月","円",660,NA,2017-08-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2017000707","2017年7月","円",660,NA,2017-07-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2017000606","2017年6月","円",595,NA,2017-06-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2017000505","2017年5月","円",660,NA,2017-05-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2017000404","2017年4月","円",595,NA,2017-04-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2017000303","2017年3月","円",595,NA,2017-03-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2017000202","2017年2月","円",595,NA,2017-02-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2017000101","2017年1月","円",595,NA,2017-01-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2016001212","2016年12月","円",660,NA,2016-12-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2016001111","2016年11月","円",660,NA,2016-11-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2016001010","2016年10月","円",660,NA,2016-10-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2016000909","2016年9月","円",595,NA,2016-09-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2016000808","2016年8月","円",660,NA,2016-08-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2016000707","2016年7月","円",660,NA,2016-07-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2016000606","2016年6月","円",749,NA,2016-06-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2016000505","2016年5月","円",814,NA,2016-05-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2016000404","2016年4月","円",749,NA,2016-04-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2016000303","2016年3月","円",776,NA,2016-03-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2016000202","2016年2月","円",776,NA,2016-02-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2016000101","2016年1月","円",776,NA,2016-01-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2015001212","2015年12月","円",814,NA,2015-12-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2015001111","2015年11月","円",776,NA,2015-11-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2015001010","2015年10月","円",814,NA,2015-10-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2015000909","2015年9月","円",776,NA,2015-09-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2015000808","2015年8月","円",656,NA,2015-08-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2015000707","2015年7月","円",656,NA,2015-07-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2015000606","2015年6月","円",694,NA,2015-06-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2015000505","2015年5月","円",668,NA,2015-05-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2015000404","2015年4月","円",630,NA,2015-04-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2015000303","2015年3月","円",630,NA,2015-03-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2015000202","2015年2月","円",668,NA,2015-02-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2015000101","2015年1月","円",660,NA,2015-01-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2014001212","2014年12月","円",660,NA,2014-12-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2014001111","2014年11月","円",611,NA,2014-11-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2014001010","2014年10月","円",765,NA,2014-10-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2014000909","2014年9月","円",668,NA,2014-09-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2014000808","2014年8月","円",668,NA,2014-08-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2014000707","2014年7月","円",668,NA,2014-07-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2014000606","2014年6月","円",631,NA,2014-06-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2014000505","2014年5月","円",668,NA,2014-05-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2014000404","2014年4月","円",630,NA,2014-04-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2014000303","2014年3月","円",650,NA,2014-03-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2014000202","2014年2月","円",602,NA,2014-02-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2014000101","2014年1月","円",650,NA,2014-01-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2013001212","2013年12月","円",598,NA,2013-12-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2013001111","2013年11月","円",598,NA,2013-11-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2013001010","2013年10月","円",588,NA,2013-10-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2013000909","2013年9月","円",648,NA,2013-09-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2013000808","2013年8月","円",648,NA,2013-08-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2013000707","2013年7月","円",648,NA,2013-07-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2013000606","2013年6月","円",648,NA,2013-06-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2013000505","2013年5月","円",648,NA,2013-05-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2013000404","2013年4月","円",648,NA,2013-04-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2013000303","2013年3月","円",648,NA,2013-03-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2013000202","2013年2月","円",648,NA,2013-02-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2013000101","2013年1月","円",648,NA,2013-01-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2012001212","2012年12月","円",573,NA,2012-12-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2012001111","2012年11月","円",573,NA,2012-11-01
"10","価格","0020","価格","09189","9189 園芸用肥料","14100","横浜市","2012001010","2012年10月","円",648,NA,2012-10-01
